food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,allergens,price
Capicola & Ham Sandwich ,668,366,40.5,107,41.3,,13.2,66,2.7,9,0,,4.3,3,87.9,,33.8,,1936.7,84,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$9.00
Chicken Club Sandwich ,514,272,30.1,79,45.9,,6,30,1.5,5,0,,8.2,6,26.1,,17.5,,1269.5,55,"Contains TreeNuts, Contains Soy, Contains Wheat, Contains Gluten, Contains TreeNuts, Contains Soy, Contains Wheat, ",$9.00
AGUA FRESCA LEMONADE ,158,0,0,0,36.8,,0,0,0,0,0,,36.8,28,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
Blackened Tofu Steak Plate ,474,159,17.7,47,58.1,,2.2,11,5.8,19,0,,19.1,15,0,,21,,1337.7,58,"Vegetarian, Contains Soy, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Gluten, Sustainability, ",$8.00
Huli Huli Chicken Plate ,429,126,14,37,43.8,,2.9,14,2.8,9,0,,11.3,9,143.5,,30.3,,652.1,28,"Contains Soy, Contains Soy, ",$8.00
Avocado Toast ,494,244,27.1,71,51.5,,6.1,31,6.1,20,0,,7.3,6,6.6,,17.9,,810.1,35,"Vegetarian, Wellness, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Wellness, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$4.00
Ham Bobcat Sandwich ,465,205,22.7,60,32.9,,11.1,55,2.7,9,0,,5.2,4,238.9,,28.1,,1288.6,56,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$5.25
Aloha Volcano Burger ,362,202,22.4,59,26.1,,9.8,49,2.5,8,0,,19.4,15,62.6,,13.2,,1041.4,45,"Contains Dairy, Contains Dairy, ",$9.00
California Style ,220,187,20.8,55,7.5,,1.5,8,3.3,11,0,,2.6,2,0,,1.6,,137.3,6,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$8.00
Humpty Dumpty Style ,419,300,33.3,88,11.8,,8.9,45,0,0,0,,0.5,0,235,,18.7,,1109.3,48,"Contains Dairy, Contains Soy, Contains Eggs, Contains Dairy, Contains Soy, Contains Eggs, ",$8.50
