food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
"Cookie, White Chocolate Macadamia ",410,178,19.7,52,53.1,,9.1,46,1.5,5,0,,30.4,23,15.2,,3,,303.6,13,"Vegetarian, Contains Dairy, Contains TreeNuts, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Vegetarian, Contains Dairy, Contains TreeNuts, Contains Soy, Contains Wheat, Contains Eggs, ",$2.00
Cheese Personal Pizza ,1036,534,59.2,156,82.2,,21.6,108,3.5,12,0,,11.9,9,83.9,,44.7,,2344.9,102,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$6.50
Grilled Vegetable Sandwich ,663,304,33.7,89,68.6,,11.9,59,4,13,0,,7.4,6,64.8,,23.3,,1489.2,65,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$8.00
Hot Ham & Cheddar Sandwich ,613,205,22.8,60,65.5,,10.6,53,2.8,9,0,,6.8,5,90.6,,32.7,,1761.3,77,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$9.00
Margherita Pizza ,621,204,22.7,60,80.1,,8.5,43,3.1,10,0,,12.5,10,35.9,,25.4,,1711,74,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$6.75
Meatball Personal Pizza ,1082,564,62.5,164,85.2,,20.9,105,3.5,12,0.7,,11.7,9,87.5,,47,,2515.8,109,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$8.00
Pesto Turkey Sandwich ,821,391,43.3,114,65.5,,11.2,56,2.2,7,0,,4.1,3,98.2,,43.5,,2194.3,95,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$9.00
Thai Chicken Personal Pizza ,1075,475,52.7,139,94.7,,16.3,82,5.4,18,0,,19.4,15,102.2,,56.3,,2493.8,108,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, ",$8.00
Tuscan Chicken Sandwich ,901,414,45.9,121,73.2,,14.2,71,6,20,1.4,,9.8,8,80.1,,50.2,,2329.6,101,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$9.00
Mediterranean Lentil Soup ,174,24,2.7,7,29.4,,0,0,0,0,0,,4,3,0,,9.4,,1236.4,54,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$4.00
New England Clam Chowder ,440,276,30.6,81,30.6,,17.3,87,1.3,4,,,6.7,5,106.6,,12,,1358.8,59,"Contains Dairy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Gluten, Sustainability, Contains Dairy, Contains Wheat, Contains Fish, Contains Shellfish, Sustainability, ",$4.00
