food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
Bulgur Tabbouleh ,136,59,6.6,17,18,,0.9,5,3,10,0,,1.8,1,0,,3,,522.2,23,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$2.50
Harissa Roasted Vegetables ,96,65,7.2,19,8.3,,0.5,3,1.9,6,0,,3.6,3,0,,1.3,,384,17,"Vegan, Sustainability, Vegan, Sustainability, ",$2.50
Lemon Saffron Rice ,132,3,0.3,1,28.6,,0.1,0,0.7,2,0,,1.4,1,0,,2.8,,148.1,6,"Vegan, Wellness, Contains Soy, Sustainability, Vegan, Wellness, Contains Soy, Sustainability, ",$1.50
Pita ,303,83,9.2,24,47.3,,0.7,4,1.9,6,,,0,0,0,,7.7,,455.6,20,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Vegan, Contains Soy, Contains Wheat, ",$2.50
Shepard's Salad ,25,3,0.3,1,4.5,,0,0,0.7,2,0,,3.3,3,0,,0.7,,39.6,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$2.50
Chicken Shawarma Greek Salad ,582,401,44.4,117,22.3,,5,25,3.7,12,0,,7.4,6,103,,25,,2659.2,116,"Contains Soy, Contains Soy, ",$9.75
Falafel Greek Salad ,536,366,40.6,107,36,,3.3,17,3,10,0,,9.9,8,0,,10.9,,2661.9,116,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$8.75
Salmon Greek Salad ,520,371,41.1,108,21.5,,4.3,22,3,10,0,,7.4,6,33.7,,18.3,,2446.4,106,"Contains Soy, Contains Fish, Sustainability, Contains Soy, Contains Fish, Sustainability, ",$10.75
Chicken Shawarma Pita ,536,201,22.3,59,54.5,,2.8,14,3.5,12,0,,4.1,3,103,,29.4,,704,31,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$8.75
Falafel Shawarma Pita ,629,256,28.4,75,76.9,,1.9,10,5.1,17,0,,7.1,5,0,,19.4,,919.8,40,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, ",$7.75
Hummus Pita ,531,213,23.6,62,65.9,,2.1,10,5.5,18,0,,4.6,4,0,,16.3,,929.2,40,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, ",$7.75
BLT Bagel ,720,401,44.5,117,48.5,,17.2,86,3.6,12,0.5,,5.7,4,111,,29.2,,1675.5,73,"Contains Dairy, Contains Wheat, Contains Gluten, Contains Sesame, Contains Dairy, Contains Wheat, Contains Gluten, ",$7.00
Bagel Bar with Smoked Salmon ,679,330,36.6,96,51.7,,13.9,69,4.4,15,0,,7.2,6,106.4,,35,,1168.5,51,"Contains Dairy, Contains Wheat, Contains Fish, Contains Gluten, Sustainability, Contains Dairy, Contains Wheat, Contains Fish, Sustainability, ",$8.00
Curried Chicken Bagel ,642,276,30.6,80,59.9,,14.9,75,1.5,5,0,,7.8,6,152.5,,28.9,,859.3,37,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$7.00
Tandoori Chicken Bagel ,592,205,22.8,60,58.6,,15.1,76,2.2,7,0.7,,6.1,5,137.3,,35.1,,1145.2,50,"Contains Dairy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Wheat, ",$7.00
Veggin' Bagel ,534,146,16.2,43,75.2,,1.3,7,11.5,38,0,,7.5,6,0,,21.6,,920.7,40,"Vegetarian, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Wheat, Sustainability, ",$6.00
Acai Bowl ,454,81,9,24,91.7,,3,15,4.2,14,0,,47.8,37,0,,6.7,,87.1,4,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",$9.00
Mango Power Bowl ,295,56,6.2,16,57.8,,0.8,4,7.9,26,0,,28.4,22,0,,6.3,,40.7,2,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",$9.00
BYO Ice Cream Sandwich ,475,146,16.1,42,79.8,,9.5,47,0.7,2,0,,49.6,38,61.9,,7.6,,391.2,17,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$5.00
Acai Smoothie ,240,24,2.6,7,56.1,,0.6,3,4.6,15,0,,38.2,29,0,,1.9,,12.4,1,"Vegan, Sustainability, Vegan, Sustainability, ",$6.50
Green Boost Smoothie ,196,36,4,10,40.5,,3.1,16,3.7,12,0,,22.6,17,0,,2.6,,90.2,4,"Vegetarian, Wellness, Contains Dairy, Sustainability, Vegetarian, Wellness, Contains Dairy, Sustainability, ",$6.50
Pineapple Mango Smoothie ,179,3,0.4,1,48.8,,0.1,0,2.7,9,0,,39.7,31,0,,1.3,,19.5,1,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",$6.50
Strawberry Mango Smoothie ,312,146,16.2,43,40.5,,13.1,66,5.2,17,0,,27.8,21,14.7,,6.7,,65.4,3,"Vegetarian, Contains Dairy, Vegetarian, Contains Dairy, ",$6.50
Affogato ,163,80,8.8,23,18.8,,4.9,25,0,0,0,,13.8,11,36.4,,2,,41.3,2,"Vegetarian, Contains Dairy, Vegetarian, Contains Dairy, ",$3.50
Affogato Double ,283,134,14.8,39,34.8,,8.4,42,0,0,0,,24.8,19,61.4,,4,,81.3,4,"Vegetarian, Contains Dairy, Vegetarian, Contains Dairy, ",$4.50
Alfajor Cookie ,1275,503,55.8,147,173.5,,17.2,86,3.1,10,9.7,,122,94,28,,15.5,,1143.1,50,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, ",$3.50
Chocolate Chip Cannoli ,242,130,14.5,38,24.9,,7.8,39,0,0,0,,14.8,11,27.7,,4.6,,242.1,11,"Contains Dairy, Contains Soy, Sustainability, Contains Dairy, Contains Soy, Sustainability, ",$4.00
Chocolate Chip Cookie ,158,37,4.1,11,29.4,,2.4,12,0.4,1,0,,17.5,13,14.5,,2.5,,169.2,7,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Sustainability, ",$2.00
Chocolate Chip Rice Krispy Treats ,282,47,5.2,14,60.6,,3.2,16,0.2,1,0,,31.2,24,2.6,,3.1,,218.7,10,"Contains Dairy, Contains Soy, Sustainability, Contains Dairy, Contains Soy, Sustainability, ",$3.50
Ube Tart ,216,102,11.3,30,25,,7,35,1.2,4,0.1,,10,8,39.7,,3.8,,122.3,5,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$3.50
