food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,allergens,price
California Club Personal Pizza ,1277,781,86.6,228,82,,22.6,113,4,13,0.1,,11.3,9,88.9,,44,,2603.4,113,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$8.00
Cheese Pizza ,671,225,25,66,81.9,,9.4,47,2.7,9,0,,12.8,10,36.5,,30.3,,1998.9,87,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$6.50
Margherita Pizza ,621,204,22.7,60,80.1,,8.5,43,3.1,10,0,,12.5,10,35.9,,25.4,,1711,74,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$6.75
Pepperoni ,802,343,38.1,100,81.9,,13.8,69,2.7,9,0,,12.8,10,58.3,,35.7,,2489.6,108,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$7.50
Shrimp Pesto Personal Pizza ,1136,625,69.3,182,83.2,,18.7,94,5.3,18,0,,11,8,100.5,,47.8,,2476.9,108,"Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, Contains Gluten, Sustainability, Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, Sustainability, ",$8.00
Chicken Club Sandwich ,744,384,42.6,112,44.4,,17,85,0.5,2,0,,8.1,6,131.3,,43,,2325,101,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$9.00
City Slicker Sandwich ,660,370,41.1,108,36.5,,13.1,66,2.9,10,0,,4.5,3,100.5,,34.7,,1353.5,59,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$9.00
Italian Flatbread Sandwich ,715,276,30.6,80,112.8,,11.5,57,3.7,12,0,,6.8,5,96.8,,42.9,,2191.8,95,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$9.00
Pesto Turkey Sandwich ,552,226,25,66,49,,6.1,31,1.8,6,0,,8,6,57.4,,33.6,,1545.8,67,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$9.00
Roasted Vegetable Sandwich ,435,129,14.3,38,109.3,,2.7,13,8.5,28,0,,10.6,8,0,,13.8,,1022.3,44,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$8.00
Santa Fe Chicken Sandwich ,772,505,56,147,40.5,,11,55,2.5,8,0,,5.3,4,85.8,,34.1,,1774.7,77,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$9.00
Toasted Cheese Sandwich ,458,198,22,58,43.4,,12.9,65,0.7,2,0,,6.9,5,56.3,,22.4,,973.8,42,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, ",$6.50
Turkey Melt ,592,266,29.4,77,44.5,,11,55,0.6,2,0,,6.9,5,73.6,,37,,1480.4,64,"Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$9.00
1/4 Avocado ,39,32,3.6,9,2,,0.5,2,1.6,5,0,,0.1,0,0,,0.5,,1.9,0,"Vegan, Sustainability, Vegan, Sustainability, ",$1.50
Diced Chicken Breast ,76,14,1.5,4,1.5,,0,0,0,0,0,,1.5,1,45.6,,16.7,,683.4,30,,$3.00
Roasted Garlic Hummus ,135,80,8.9,23,9.1,,0.7,4,1.8,6,0,,0.2,0,0,,2.7,,208.5,9,"Vegan, Contains Sesame, Sustainability, Vegan, Contains Gluten, Sustainability, ",$1.00
Tuna Salad ,182,88,9.8,26,3.5,,0.8,4,0.1,0,0,,1.7,1,31.5,,20.6,,356.3,15,"Contains Soy, Contains Fish, Sustainability, Contains Soy, Contains Fish, Sustainability, ",$3.50
Tuna Salad ,182,88,9.8,26,3.5,,0.8,4,0.1,0,0,,1.7,1,31.5,,20.6,,356.3,15,,
Tuna Salad ,182,88,9.8,26,3.5,,0.8,4,0.1,0,0,,1.7,1,31.5,,20.6,,356.3,15,,
Tuna Salad ,182,88,9.8,26,3.5,,0.8,4,0.1,0,0,,1.7,1,31.5,,20.6,,356.3,15,,
